Dam Name,Report Date,Report Time,Dead Storage (MCM),Design Live Storage (MCM),Design Gross Storage (MCM),Current Live Storage (MCM),Current Gross Storage (MCM),Current Live Storage (%),Last Year Storage (%),Status
Gunjawani,15/06/2026,05:36 स.,0.21,104.48,104.69,18.76,18.97,17.96,23.33,Success
Khadakwasla,15/06/2026,06:53 स.,30.0,55.91,85.91,22.93,52.93,41.01,46.97,Success
Mulshi,15/06/2026,07:00 स.,230.0,522.76,752.76,76.85,306.85,14.7,17.92,Success
Panshet,15/06/2026,06:54 स.,9.0,301.61,310.61,54.01,63.01,17.91,13.42,Success
Temghar,15/06/2026,07:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,0.84,Success
Gunjawani,14/06/2026,06:26 स.,0.21,104.48,104.69,18.76,18.97,17.96,23.33,Success
Khadakwasla,14/06/2026,07:48 स.,30.0,55.91,85.91,22.28,52.28,39.85,46.32,Success
Mulshi,14/06/2026,07:00 स.,230.0,522.76,752.76,78.8,308.8,15.07,18.19,Success
Panshet,14/06/2026,07:48 स.,9.0,301.61,310.61,55.46,64.46,18.39,13.4,Success
Temghar,14/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,0.42,Success
Gunjawani,13/06/2026,05:06 स.,0.21,104.48,104.69,18.93,19.14,18.12,23.11,Success
Khadakwasla,13/06/2026,06:52 स.,30.0,55.91,85.91,21.37,51.37,38.22,46.32,Success
Mulshi,13/06/2026,06:30 स.,230.0,522.76,752.76,81.02,311.02,15.5,18.92,Success
Panshet,13/06/2026,07:23 स.,9.0,301.61,310.61,57.1,66.1,18.93,13.4,Success
Temghar,13/06/2026,08:30 स.,2.95,105.01,107.96,0.0,2.95,0.0,0.0,Success
Gunjawani,12/06/2026,07:17 स.,0.21,104.48,104.69,18.93,19.14,18.12,22.89,Success
Khadakwasla,12/06/2026,08:00 स.,30.0,55.91,85.91,21.67,51.67,38.76,45.5,Success
Mulshi,12/06/2026,08:00 स.,230.0,522.76,752.76,83.7,313.7,16.01,19.26,Success
Panshet,12/06/2026,08:00 स.,9.0,301.61,310.61,59.04,68.04,19.57,13.79,Success
Temghar,12/06/2026,07:45 स.,2.95,105.01,107.96,0.0,2.95,0.0,1.38,Success
Gunjawani,11/06/2026,05:30 स.,0.21,104.48,104.69,19.09,19.3,18.27,22.67,Success
Khadakwasla,11/06/2026,06:28 स.,30.0,55.91,85.91,21.97,51.97,39.3,44.69,Success
Mulshi,11/06/2026,08:00 स.,230.0,522.76,752.76,86.38,316.38,16.52,19.59,Success
Panshet,11/06/2026,06:28 स.,9.0,301.61,310.61,60.98,69.98,20.22,14.18,Success
Temghar,11/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,2.31,Success
Gunjawani,10/06/2026,08:12 स.,0.21,104.48,104.69,19.42,19.63,18.59,22.45,Success
Khadakwasla,10/06/2026,08:26 स.,30.0,55.91,85.91,22.56,52.56,40.35,43.52,Success
Mulshi,10/06/2026,05:45 स.,230.0,522.76,752.76,89.06,319.06,17.04,19.93,Success
Panshet,10/06/2026,08:27 स.,9.0,301.61,310.61,62.41,71.41,20.69,14.7,Success
Temghar,10/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,3.35,Success
Gunjawani,09/06/2026,08:00 स.,0.21,104.48,104.69,19.51,19.72,18.67,22.36,Success
Khadakwasla,09/06/2026,08:25 स.,30.0,55.91,85.91,23.32,53.32,41.71,42.34,Success
Mulshi,09/06/2026,08:00 स.,230.0,522.76,752.76,91.52,321.52,17.51,20.03,Success
Panshet,09/06/2026,08:26 स.,9.0,301.61,310.61,63.84,72.84,21.17,15.2,Success
Temghar,09/06/2026,06:59 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.35,Success
Gunjawani,08/06/2026,04:11 स.,0.21,104.48,104.69,19.59,19.8,18.75,22.27,Success
Khadakwasla,08/06/2026,08:36 स.,30.0,55.91,85.91,23.67,53.67,42.34,40.57,Success
Mulshi,08/06/2026,08:00 स.,230.0,522.76,752.76,93.98,323.98,17.98,20.13,Success
Panshet,08/06/2026,08:37 स.,9.0,301.61,310.61,65.26,74.26,21.64,15.69,Success
Temghar,08/06/2026,08:39 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.98,Success
Gunjawani,07/06/2026,05:08 स.,0.21,104.48,104.69,19.59,19.8,18.75,22.08,Success
Khadakwasla,07/06/2026,07:32 स.,30.0,55.91,85.91,24.88,54.88,44.5,39.3,Success
Mulshi,07/06/2026,08:00 स.,230.0,522.76,752.76,96.43,326.43,18.45,20.23,Success
Panshet,07/06/2026,07:32 स.,9.0,301.61,310.61,66.9,75.9,22.18,16.06,Success
Temghar,07/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.8,Success
Gunjawani,06/06/2026,06:21 स.,0.21,104.48,104.69,19.98,20.19,19.12,21.9,Success
Khadakwasla,06/06/2026,07:00 स.,30.0,55.91,85.91,26.26,56.26,46.97,38.04,Success
Mulshi,06/06/2026,08:00 स.,230.0,522.76,752.76,98.89,328.89,18.92,20.32,Success
Panshet,06/06/2026,07:39 स.,9.0,301.61,310.61,68.54,77.54,22.72,16.59,Success
Temghar,06/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.88,Success
Gunjawani,05/06/2026,05:24 स.,0.21,104.48,104.69,20.17,20.38,19.31,21.71,Success
Khadakwasla,05/06/2026,06:54 स.,30.0,55.91,85.91,25.56,55.56,45.72,36.98,Success
Mulshi,05/06/2026,08:00 स.,230.0,522.76,752.76,101.35,331.35,19.39,20.42,Success
Panshet,05/06/2026,06:54 स.,9.0,301.61,310.61,69.76,78.76,23.13,17.01,Success
Temghar,05/06/2026,07:45 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.9,Success
Gunjawani,04/06/2026,06:51 स.,0.21,104.48,104.69,20.17,20.38,19.31,21.71,Success
Khadakwasla,04/06/2026,08:26 स.,30.0,55.91,85.91,27.63,57.63,49.42,36.65,Success
Mulshi,04/06/2026,08:00 स.,230.0,522.76,752.76,103.81,333.81,19.86,20.52,Success
Panshet,04/06/2026,08:26 स.,9.0,301.61,310.61,70.38,79.38,23.33,17.41,Success
Temghar,04/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.9,Success
Gunjawani,03/06/2026,06:05 स.,0.21,104.48,104.69,20.36,20.57,19.49,21.71,Success
Khadakwasla,03/06/2026,07:36 स.,30.0,55.91,85.91,27.94,57.94,49.97,36.09,Success
Mulshi,03/06/2026,08:00 स.,230.0,522.76,752.76,106.27,336.27,20.33,20.62,Success
Panshet,03/06/2026,07:37 स.,9.0,301.61,310.61,72.0,81.0,23.87,17.82,Success
Temghar,03/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.62,Success
Gunjawani,02/06/2026,05:32 स.,0.21,104.48,104.69,20.56,20.77,19.68,21.53,Success
Khadakwasla,02/06/2026,07:56 स.,30.0,55.91,85.91,28.31,58.31,50.63,36.28,Success
Mulshi,02/06/2026,03:30 स.,230.0,522.76,752.76,108.72,338.72,20.8,20.72,Success
Panshet,02/06/2026,07:56 स.,9.0,301.61,310.61,73.58,82.58,24.4,18.28,Success
Temghar,02/06/2026,08:36 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.62,Success
Gunjawani,01/06/2026,05:32 स.,0.21,104.48,104.69,20.94,21.15,20.04,21.53,Success
Khadakwasla,01/06/2026,08:30 स.,30.0,55.91,85.91,28.31,58.31,50.63,38.78,Success
Mulshi,01/06/2026,04:45 स.,230.0,522.76,752.76,111.18,341.18,21.27,21.28,Success
Panshet,01/06/2026,08:30 स.,9.0,301.61,310.61,75.28,84.28,24.96,18.25,Success
Temghar,01/06/2026,08:30 स.,2.95,105.01,107.96,0.0,2.95,0.0,7.94,Success
Gunjawani,31/05/2026,06:29 स.,0.21,104.48,104.69,20.94,21.15,20.04,21.34,Success
Khadakwasla,31/05/2026,07:43 स.,30.0,55.91,85.91,29.07,59.07,51.99,41.48,Success
Mulshi,31/05/2026,07:30 स.,230.0,522.76,752.76,113.64,343.64,21.74,23.91,Success
Panshet,31/05/2026,07:44 स.,9.0,301.61,310.61,76.98,85.98,25.52,18.25,Success
Temghar,31/05/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,7.94,Success
Gunjawani,30/05/2026,06:31 स.,0.21,104.48,104.69,21.14,21.35,20.23,21.34,Success
Khadakwasla,30/05/2026,08:00 स.,30.0,55.91,85.91,29.22,59.22,52.26,42.78,Success
Mulshi,30/05/2026,03:15 स.,230.0,522.76,752.76,116.62,346.62,22.31,24.43,Success
Panshet,30/05/2026,08:00 स.,9.0,301.61,310.61,79.04,88.04,26.21,18.25,Success
Temghar,30/05/2026,07:45 स.,2.95,105.01,107.96,0.0,2.95,0.0,7.94,Success
